ax,ay,az,atotal,soco
-0.99,1.15,-0.99,1.81,0
1.11,1.48,-0.09,1.85,0
-0.76,1.72,0.05,1.88,0
-0.46,1.71,-0.65,1.88,0
0.77,1.73,-0.08,1.89,0
0.74,1.54,0.89,1.92,0
-1.09,0.71,-1.43,1.93,0
-0.31,1.86,-0.6,1.97,0
1.12,1.63,0.02,1.97,0
1.16,-0.33,0.07,1.2,0
1.85,-0.64,0.56,2.03,0
1.17,-0.2,0.75,1.4,0
-0.69,0.5,-1.08,1.37,0
-0.43,2.17,-0.1,2.21,0
-1.09,3.27,0.11,3.44,0
-0.95,3.57,0.15,3.69,0
-0.5,3.07,0.13,3.11,0
-0.45,2.41,0.19,2.45,0
-0.62,1.98,0.08,2.07,0
0.3,1.72,-0.17,1.75,0
0.77,1.73,-0.08,1.89,0
1.12,1.63,0.02,1.97,0
1.11,1.48,-0.09,1.85,0
0.97,1.46,-0.32,1.78,0
0.83,1.34,-0.57,1.67,0
0.7,1.05,-0.58,1.38,0
0.4,1.13,-0.82,1.45,0
0.49,1.1,-0.56,1.32,0
0.46,1.34,-0.23,1.43,0
0.49,1.36,-0.39,1.49,0
0.46,1.25,-0.5,1.42,0
0.37,1.16,-0.54,1.33,0
0.29,1.15,-0.5,1.28,0
